Title,Author,URL
Extractive Capitalism: How Commodities and Cronyism Drive the Global Economy,Laleh Khalili,<![CDATA[https://www.goodreads.com/review/show/7559473791?utm_medium=api&utm_source=rss]]>
Permafrost: Roman (German Edition),Viktor Remizov,<![CDATA[https://www.goodreads.com/review/show/7554169743?utm_medium=api&utm_source=rss]]>
Sound N' Fury: Rock N' Roll Stories,Alan Niven,<![CDATA[https://www.goodreads.com/review/show/7504433944?utm_medium=api&utm_source=rss]]>
The Death of Us,Abigail Dean,<![CDATA[https://www.goodreads.com/review/show/7492515853?utm_medium=api&utm_source=rss]]>
The Staircase in the Woods,Chuck Wendig,<![CDATA[https://www.goodreads.com/review/show/7492515154?utm_medium=api&utm_source=rss]]>
Some Body Like Me,Lucy Lapinska,<![CDATA[https://www.goodreads.com/review/show/7489679979?utm_medium=api&utm_source=rss]]>
Berlin Heat,Johannes Groschupf,<![CDATA[https://www.goodreads.com/review/show/7469279122?utm_medium=api&utm_source=rss]]>
"Skin City (Berlin Noir, #4)",Johannes Groschupf,<![CDATA[https://www.goodreads.com/review/show/7469278309?utm_medium=api&utm_source=rss]]>
The Mouthless Dead,Anthony   Quinn,<![CDATA[https://www.goodreads.com/review/show/7465842201?utm_medium=api&utm_source=rss]]>
Europe Central,William T. Vollmann,<![CDATA[https://www.goodreads.com/review/show/7436385111?utm_medium=api&utm_source=rss]]>
"Clouds above the Hill: A Historical Novel of the Russo-Japanese War, Volume 1",Ryōtarō Shiba,<![CDATA[https://www.goodreads.com/review/show/7412708481?utm_medium=api&utm_source=rss]]>
Nord Stream: Wie Deutschland Putins Krieg bezahlt (German Edition),Steffen Dobbert,<![CDATA[https://www.goodreads.com/review/show/7393599054?utm_medium=api&utm_source=rss]]>
The Oligarch&apos;s Daughter,Joseph Finder,<![CDATA[https://www.goodreads.com/review/show/7387556735?utm_medium=api&utm_source=rss]]>
A Death in Berlin (CI Schenke #3),Simon Scarrow,<![CDATA[https://www.goodreads.com/review/show/7387549088?utm_medium=api&utm_source=rss]]>
Super Agers: An Evidence-Based Approach to Longevity,Eric Topol,<![CDATA[https://www.goodreads.com/review/show/7380094845?utm_medium=api&utm_source=rss]]>
Niemand hört dich (Grenzland 1),Karen Inge Nielsen,<![CDATA[https://www.goodreads.com/review/show/7370742480?utm_medium=api&utm_source=rss]]>
The God of the Woods,Liz    Moore,<![CDATA[https://www.goodreads.com/review/show/7370739823?utm_medium=api&utm_source=rss]]>
The Nothing Man,Catherine Ryan Howard,<![CDATA[https://www.goodreads.com/review/show/7285149698?utm_medium=api&utm_source=rss]]>
The Trap,Catherine Ryan Howard,<![CDATA[https://www.goodreads.com/review/show/7285149259?utm_medium=api&utm_source=rss]]>
Learning from Silence: Lessons from Over 100 Retreats,Pico Iyer,<![CDATA[https://www.goodreads.com/review/show/7281864510?utm_medium=api&utm_source=rss]]>
The Seventh Floor,David McCloskey,<![CDATA[https://www.goodreads.com/review/show/7205126899?utm_medium=api&utm_source=rss]]>
